"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
lived_disorder,lived_and_living_experience,"Please indicate whether you have any CLOSE family members, significant others, or CLOSE friends who have <i>ever</i> had the following experiences. By CLOSE, we mean someone you have regular contact with or feel emotionally connected to.  Select a response for each experience that applies, even if it is for the same person.  Check all that apply by selecting the relevant relationship(s). As a reminder, your answers are confidential.  Response options are:   No close family or friends with these experiences, a close family member, a significant other, a close friend, I'm unsure.",checkbox,"L1. Been diagnosed with an alcohol or drug use disorder.","1, No close family or friends | 2, A close family member | 3, A significant other | 4, A close friend | 5, I'm unsure",,,,,,,y,,,,," @NONEOFTHEABOVE='1,5'"
lived_tx,lived_and_living_experience,,checkbox,"L2. Participated in addiction treatment or recovery support services.","1, No close family or friends | 2, A close family member | 3, A significant other | 4, A close friend | 5, I'm unsure",,,,,,,y,,,,," @NONEOFTHEABOVE='1,5'"
lived_recovery,lived_and_living_experience,,checkbox,"L3. Currently in recovery from an alcohol or drug use disorder.","1, No close family or friends | 2, A close family member | 3, A significant other | 4, A close friend | 5, I'm unsure",,,,,,,y,,,,," @NONEOFTHEABOVE='1,5'"
lived_odsurvive,lived_and_living_experience,,checkbox,"L4. Survived an overdose.","1, No close family or friends | 2, A close family member | 3, A significant other | 4, A close friend | 5, I'm unsure",,,,,,,y,,,,," @NONEOFTHEABOVE='1,5'"
lived_oddeath,lived_and_living_experience,,checkbox,"L5. Death from an overdose.","1, No close family or friends | 2, A close family member | 3, A significant other | 4, A close friend | 5, I'm unsure",,,,,,,y,,,,," @NONEOFTHEABOVE='1,5'"
lived_criminal,lived_and_living_experience,,checkbox,"L6. Criminal-legal system involvement (e.g., arrest, probation, incarceration).","1, No close family or friends | 2, A close family member | 3, A significant other | 4, A close friend | 5, I'm unsure",,,,,,,y,,,,," @NONEOFTHEABOVE='1,5'"
lived_mental,lived_and_living_experience,,checkbox,"L7. Diagnosed mental health condition such as major depression, bipolar disorder, psychotic disorder, schizophrenia, or schizoaffective disorder.","1, No close family or friends | 2, A close family member | 3, A significant other | 4, A close friend | 5, I'm unsure",,,,,,,y,,,,," @NONEOFTHEABOVE='1,5'"
lived_self_header,lived_and_living_experience,,descriptive,"<div class=""blue"">Lived and Living Experience:  Self

(OPTIONAL)",,,,,,,,,,,,,
lived_disorder_self,lived_and_living_experience,"Please indicate whether you have personally experienced any of the following at any point in your life. As a reminder, your answers are confidential.",radio,"L8. I have been diagnosed with an alcohol or drug use disorder.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_self,,
lived_tx_self,lived_and_living_experience,,radio,"L9. I have participated in addiction treatment or recovery support services.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_self,,
